,id,tweet_text,tweet_date,original_sentiment,query_used,negative,neutro,positive,compound,sentiment
3355,1020842176983588864,Sobe para 135 o número de mortos por erupção de vulcão Guatemala https://t.co/FCeeNpIqWZ,Sun Jul 22 01:25:15 +0000 2018,neutral,veja,0.124,0.775,0.101,-0.0772,negative
3356,1020856179730321409,FMI alerta sobre impacto de guerra comercial antes de reunião do G20 https://t.co/A89H5mtVNf,Sun Jul 22 02:20:54 +0000 2018,neutral,veja,0.205,0.663,0.133,-0.296,negative
3357,1020971750790770690,Cápsulas de ômega-3: estudo mostra que são inúteis para o coração https://t.co/bCqGYTqa7K,Sun Jul 22 10:00:08 +0000 2018,neutral,veja,0.138,0.862,0.0,-0.1531,negative
3358,1020997982710370309,Imagem no chão: os planos do PSG para levantar Neymar https://t.co/6liBNqhf0y,Sun Jul 22 11:44:22 +0000 2018,neutral,veja,0.138,0.862,0.0,-0.1531,negative
3359,1021010528553095173,Fies: hoje é o último dia para inscrições do segundo semestre https://t.co/mOsF4mVq6t,Sun Jul 22 12:34:14 +0000 2018,neutral,veja,0.151,0.849,0.0,-0.1531,negative
3360,1021019077559574528,Centenas de Capacetes Brancos sírios são evacuados para a Jordânia https://t.co/roE1e1r7cS,Sun Jul 22 13:08:12 +0000 2018,neutral,veja,0.151,0.849,0.0,-0.1531,negative
3361,1021028999613616129,Meninos da caverna farão retiro espiritual na Tailândia https://t.co/FlzGmsQ4Sh,Sun Jul 22 13:47:37 +0000 2018,neutral,veja,0.0,0.816,0.184,0.2023,positive
3366,1021051082234089472,"Homem atira em avó e namorada, foge e mata refém nos EUA https://t.co/xnxNOuZSGa",Sun Jul 22 15:15:22 +0000 2018,neutral,veja,0.5,0.5,0.0,-0.7906,negative
3367,1021058125988810754,Janaína Paschoal explica demora na decisão sobre ser vice de Bolsonaro https://t.co/UTVShQmxDb,Sun Jul 22 15:43:22 +0000 2018,neutral,veja,0.173,0.827,0.0,-0.3182,negative
3368,1021069227900456961,‘Lua de Sangue’: Maior eclipse lunar do século poderá ser visto do Brasil https://t.co/TivCLoZNcB,Sun Jul 22 16:27:29 +0000 2018,neutral,veja,0.0,0.756,0.244,0.6369,positive
3369,1021079375515734016,"Bolsonaro critica Alckmin, elogia militares e fala em extinguir estatais https://t.co/ZXJg1ChPc2",Sun Jul 22 17:07:48 +0000 2018,neutral,veja,0.211,0.789,0.0,-0.34,negative
3370,1021098551470895104,Tromba-d’água surpreende turistas no Mar Negro https://t.co/A2PInPrEel,Sun Jul 22 18:24:00 +0000 2018,neutral,veja,0.417,0.583,0.0,-0.6486,negative
3372,1021106055315623937,"Mayana Moura, da novela ‘Jesus’: ‘Não levo Satanás para casa’ https://t.co/817hiHm4rF",Sun Jul 22 18:53:49 +0000 2018,neutral,veja,0.297,0.703,0.0,-0.4215,negative
3378,1021177233891831810,Cuba aprova projeto de nova Constituição que reconhece propriedade privada https://t.co/inQHG4I6Ep,Sun Jul 22 23:36:39 +0000 2018,neutral,veja,0.0,0.787,0.213,0.4019,positive
3379,1021197888683167744,"Em depoimento, testemunha-chave contradiz Dr Bumbum https://t.co/pRyxVBGTnj",Mon Jul 23 00:58:44 +0000 2018,neutral,veja,0.286,0.714,0.0,-0.34,negative
3380,1021352033100664832,Perícias apontam falha de segurança e Corinthians tem eleição sob suspeita https://t.co/jjT4Cm60M1,Mon Jul 23 11:11:15 +0000 2018,neutral,veja,0.312,0.5,0.188,-0.25,negative
3382,1021354853447053312,Ministro de Temer quer SUS pago e tribunal acima do Supremo https://t.co/VSX58MSkcn,Mon Jul 23 11:22:27 +0000 2018,neutral,veja,0.0,0.714,0.286,0.3818,positive
3383,1021371689295384576,‘Promessa ao Amanhecer’: um filme de guerra francês com jeito americano https://t.co/ugqZKbWvV9,Mon Jul 23 12:29:21 +0000 2018,neutral,veja,0.217,0.637,0.146,-0.2732,negative
3384,1021374107932413952,Economistas reduzem estimativa de inflação para 2018 https://t.co/DJA9BhSnmd,Mon Jul 23 12:38:58 +0000 2018,neutral,veja,0.186,0.814,0.0,-0.1531,negative
3385,1021386324253782016,Avião que levava diretora do FMI faz pouso de emergência na Argentina https://t.co/TNthRBcDCz,Mon Jul 23 13:27:30 +0000 2018,neutral,veja,0.178,0.822,0.0,-0.3818,negative
3386,1021388509851144194,Trump ameaça Irã com tweet em caixa alta https://t.co/lEx3AoeU8c,Mon Jul 23 13:36:11 +0000 2018,neutral,veja,0.245,0.755,0.0,-0.3818,negative
3388,1021389763826372608,Ator de ‘Game of Thrones’ visita Cristo Redentor: ‘O Deus de uma face’ https://t.co/PqVDJZPpKv,Mon Jul 23 13:41:10 +0000 2018,neutral,veja,0.0,0.851,0.149,0.2732,positive
3389,1021394470829547520,Petição para recontratação de James Gunn ultrapassa 170.000 assinaturas https://t.co/VGL7YfKIKB,Mon Jul 23 13:59:53 +0000 2018,neutral,veja,0.151,0.849,0.0,-0.1531,negative
3390,1021400023807012864,"Após pedir dispensa da seleção alemã, Özil ouve aplausos e xingamentos https://t.co/QNDcarxynH",Mon Jul 23 14:21:57 +0000 2018,neutral,veja,0.0,0.781,0.219,0.4215,positive
3392,1021400938009985024,"Campeão gaúcho pelo Novo Hamburgo, Beto Campos morre https://t.co/ZhP3TmJGqE",Mon Jul 23 14:25:34 +0000 2018,neutral,veja,0.0,0.8,0.2,0.25,positive
3394,1021407332843106304,Goleiro argentino é morto em porta de boate; outro jogador é suspeito https://t.co/NFb6cSkHyh,Mon Jul 23 14:50:59 +0000 2018,neutral,veja,0.438,0.562,0.0,-0.7906,negative
3397,1021416401884647432,Parma é punido com 5 pontos por tentativa de manipulação de resultado https://t.co/MPFaiHfMzc,Mon Jul 23 15:27:01 +0000 2018,neutral,veja,0.366,0.634,0.0,-0.6369,negative
3398,1021421530897580033,Fachin nega pedido de juízes para facilitar porte de armas https://t.co/JcQGPznKh9,Mon Jul 23 15:47:24 +0000 2018,neutral,veja,0.477,0.523,0.0,-0.743,negative
3400,1021423112531849216,China pede investigação após escândalo de falsificação de vacinas https://t.co/slDzAYcMTW,Mon Jul 23 15:53:41 +0000 2018,neutral,veja,0.244,0.756,0.0,-0.4404,negative
3401,1021423862322429953,Burberry queima R$ 126 milhões em roupas não vendidas https://t.co/dvXEgl1x4a,Mon Jul 23 15:56:40 +0000 2018,neutral,veja,0.196,0.804,0.0,-0.296,negative
3405,1021437280756649986,Falha faz MEC prorrogar inscrições para Fies 2018 até esta terça https://t.co/8pGsvzivGa,Mon Jul 23 16:49:59 +0000 2018,neutral,veja,0.286,0.714,0.0,-0.4588,negative
3408,1021452928400478209,Santos demite o técnico Jair Ventura após sete meses de trabalho https://t.co/fWDLYtIHT7,Mon Jul 23 17:52:10 +0000 2018,neutral,veja,0.0,0.725,0.275,0.5859,positive
3409,1021453208600891393,Jovem estuprada pelo irmão é presa por fazer aborto na Indonésia https://t.co/J4C2r7KcuL,Mon Jul 23 17:53:17 +0000 2018,neutral,veja,0.289,0.566,0.145,-0.5106,negative
3413,1021465566052220928,Trabalhadores do setor elétrico entram em greve na Venezuela https://t.co/Pz7SIBPm4N,Mon Jul 23 18:42:23 +0000 2018,neutral,veja,0.143,0.857,0.0,-0.128,negative
3415,1021467458249658372,Desabamento de edifício em Miami Beach deixa pelo menos 1 ferido https://t.co/NglC51rlyZ,Mon Jul 23 18:49:54 +0000 2018,neutral,veja,0.254,0.746,0.0,-0.5267,negative
3416,1021467736684285952,Militares preparam plano de segurança para encerrar intervenção no Rio https://t.co/HNQUx2vXgD,Mon Jul 23 18:51:01 +0000 2018,neutral,veja,0.118,0.662,0.221,0.34,positive
3418,1021470343343505408,Medicamento que trata malária com apenas 1 dose é aprovado nos EUA https://t.co/GQKVjnYLqt,Mon Jul 23 19:01:22 +0000 2018,neutral,veja,0.0,0.833,0.167,0.25,positive
3419,1021471001518006272,Ondas de calor matam 44 pessoas no Japão https://t.co/aaVBIHbJGF,Mon Jul 23 19:03:59 +0000 2018,neutral,veja,0.0,0.727,0.273,0.4588,positive
3422,1021479133652631552,"Conheça a adenomiose, problema ginecológico mais doloroso que o parto https://t.co/eId04Slm9y",Mon Jul 23 19:36:18 +0000 2018,neutral,veja,0.478,0.522,0.0,-0.7506,negative
3423,1021480659167182855,Dias Toffoli assume presidência do Supremo interinamente https://t.co/4QjzBkizy3,Mon Jul 23 19:42:21 +0000 2018,neutral,veja,0.0,0.753,0.247,0.3182,positive
3425,1021495411813621761,Ministro britânico vê risco real de um Brexit sem acordo com a UE https://t.co/cGnc40LJoh,Mon Jul 23 20:40:59 +0000 2018,neutral,veja,0.155,0.655,0.19,0.1531,positive
3426,1021496383294119936,Universidade de Aveiro oferece bolsas de mestrado para brasileiros https://t.co/pj4HJpmqTO,Mon Jul 23 20:44:50 +0000 2018,neutral,veja,0.151,0.849,0.0,-0.1531,negative
3428,1021500199414378497,O ‘Veja Saúde’ traz as últimas novidades sobre a detecção precoce dos tumores e explica a importância dos exames de rotina #TVEJA https://t.co/zHrKFggmiR,Mon Jul 23 21:00:00 +0000 2018,neutral,veja,0.0,0.878,0.122,0.3612,positive
3430,1021503526835564546,"PT, PSOL e PSB pedem no Supremo a volta dos ‘showmícios’ https://t.co/lqzfu3tqCY",Mon Jul 23 21:13:14 +0000 2018,neutral,veja,0.0,0.796,0.204,0.3182,positive
3431,1021504074376781824,Trump quer tirar credenciais de ex-autoridades por ‘acusações inadequadas’ https://t.co/e9dFzL59p7,Mon Jul 23 21:15:24 +0000 2018,neutral,veja,0.177,0.538,0.285,0.1027,positive
3434,1021523080412385283,Chile tem 158 membros da Igreja Católica investigados por abuso sexual https://t.co/vVdA1UyoFO,Mon Jul 23 22:30:56 +0000 2018,neutral,veja,0.276,0.724,0.0,-0.6369,negative
3435,1021523839753314305,Pedra de 100 kg se desprende e cai do Muro das Lamentações https://t.co/nFtOWCH1eZ,Mon Jul 23 22:33:57 +0000 2018,neutral,veja,0.209,0.791,0.0,-0.4404,negative
3436,1021524885468835840,"Projeto desembolsa US$ 1,5 mi para contar os gatos de Washington https://t.co/zzN0VMPBuB",Mon Jul 23 22:38:06 +0000 2018,neutral,veja,0.127,0.873,0.0,-0.1531,negative
3437,1021530096526667779,"FMI reduz previsão de crescimento da América Latina para 1,6% https://t.co/prkEGButi9",Mon Jul 23 22:58:48 +0000 2018,neutral,veja,0.121,0.682,0.197,0.25,positive
3438,1021533326870544384,80 menores são resgatados de cativeiro em contêiner no Sudão https://t.co/LNSXtjxkUY,Mon Jul 23 23:11:38 +0000 2018,neutral,veja,0.0,0.813,0.187,0.3182,positive
3439,1021536212547497986,Bolsonaro: Janaina Paschoal tende a recusar vice https://t.co/rqN1BdOc5e,Mon Jul 23 23:23:06 +0000 2018,neutral,veja,0.268,0.732,0.0,-0.296,negative
3441,1021543837490130944,Testemunhas ganham imunidade para depor contra ex-chefe da campanha Trump https://t.co/t4avRR9I0F,Mon Jul 23 23:53:24 +0000 2018,neutral,veja,0.138,0.862,0.0,-0.1531,negative
3442,1021545499839668226,Três notícias para ficar bem informado nesta segunda-feira #TVEJA https://t.co/UfviJpKoaj,Tue Jul 24 00:00:01 +0000 2018,neutral,veja,0.137,0.684,0.179,0.128,positive
3443,1021549836036988928,Rússia acusa Capacetes Brancos de ‘provocação odiosa’ em conflito sírio https://t.co/aqsernrrPe,Tue Jul 24 00:17:15 +0000 2018,neutral,veja,0.467,0.533,0.0,-0.7184,negative
3445,1021555211180093442,Família diz que atirador de Toronto sofria de ‘sérios problemas mentais’ https://t.co/3MaFNnfIOJ,Tue Jul 24 00:38:36 +0000 2018,neutral,veja,0.214,0.786,0.0,-0.4588,negative
3446,1021557477714919429,Santos diz ter 2 nomes para lugar de Jair e descarta técnico estrangeiro https://t.co/xUMLU3EMGl,Tue Jul 24 00:47:36 +0000 2018,neutral,veja,0.265,0.735,0.0,-0.3818,negative
3448,1021586139759763456,Via Varejo anuncia migração para o Novo Mercado na Bolsa de Valores https://t.co/DJfUDDugW0,Tue Jul 24 02:41:30 +0000 2018,neutral,veja,0.112,0.699,0.189,0.2732,positive
3450,1021703597334122496,Especialistas avaliam que Lula poderia fazer campanha em prisão domiciliar https://t.co/QaEBD5PRNP,Tue Jul 24 10:28:14 +0000 2018,neutral,veja,0.248,0.752,0.0,-0.5106,negative
3454,1021728300832415745,Crítica às pernas cruzadas de Meghan Markle resvala em preconceito https://t.co/JHEjTRGVPo,Tue Jul 24 12:06:24 +0000 2018,neutral,veja,0.388,0.612,0.0,-0.6908,negative
3455,1021735041104338944,"Brasil é o país que mais mata ambientalistas no mundo, diz ONG https://t.co/EDgNFFr9Jh",Tue Jul 24 12:33:11 +0000 2018,neutral,veja,0.259,0.741,0.0,-0.5423,negative
3456,1021735416666509313,Registro de armas de fogo na PF aumenta cinco vezes em 10 anos https://t.co/qefxa4FnuD,Tue Jul 24 12:34:40 +0000 2018,neutral,veja,0.306,0.694,0.0,-0.6486,negative
3460,1021744741610868737,"Sem Tite, Fifa divulga 11 concorrentes ao prêmio de melhor técnico https://t.co/bX2a2mDu5B",Tue Jul 24 13:11:44 +0000 2018,neutral,veja,0.0,0.617,0.383,0.7351,positive
3461,1021745632866959360,"Acusado de assédio, R. Kelly lança música em que diz ter sido abusado https://t.co/ldH7gUHC6D",Tue Jul 24 13:15:16 +0000 2018,neutral,veja,0.453,0.547,0.0,-0.8442,negative
3462,1021747121752604672,"Suspeito de participação na morte de Marielle é preso no RJ, diz jornal https://t.co/30GSyQseu3",Tue Jul 24 13:21:11 +0000 2018,neutral,veja,0.495,0.505,0.0,-0.8689,negative
3464,1021753059435864065,Marta e Vadão concorrem ao prêmio da Fifa no futebol feminino https://t.co/0EpXZV723R,Tue Jul 24 13:44:47 +0000 2018,neutral,veja,0.0,0.752,0.248,0.5106,positive
3465,1021756311090941952,"PMs da Rota serão julgados por homicídios, fraude e porte ilegal de armas https://t.co/ldy3lcdyQN",Tue Jul 24 13:57:42 +0000 2018,neutral,veja,0.495,0.505,0.0,-0.8689,negative
3466,1021757563090726915,"Com greve dos caminhoneiros, PIB cai 1,5% em maio, diz FGV https://t.co/RlArWIjL5A",Tue Jul 24 14:02:41 +0000 2018,neutral,veja,0.12,0.88,0.0,-0.128,negative
3467,1021759155944738819,Jota Quest condenada a pagar R$ 50.000 por danos morais a dupla sertaneja https://t.co/hlJTu5HIPt,Tue Jul 24 14:09:00 +0000 2018,neutral,veja,0.209,0.791,0.0,-0.4404,negative
3468,1021759790614294530,Fundadora do grupo Femen se suicida em Paris https://t.co/ZAB9v2pFI3,Tue Jul 24 14:11:32 +0000 2018,neutral,veja,0.453,0.547,0.0,-0.7003,negative
3469,1021760086811836416,"Sem Neymar, Fifa divulga lista de 10 concorrentes a melhor do mundo https://t.co/JG3HXnBSQv",Tue Jul 24 14:12:42 +0000 2018,neutral,veja,0.0,0.791,0.209,0.4404,positive
3470,1021767688991985670,Agência se desculpa por foto de Natalie Portman em propaganda escolar https://t.co/walkE4mLMd,Tue Jul 24 14:42:55 +0000 2018,neutral,veja,0.248,0.752,0.0,-0.3182,negative
3471,1021775421954777089,"Arrecadação de junho é a melhor desde 2015, diz Receita https://t.co/GP2qkEVYLn",Tue Jul 24 15:13:38 +0000 2018,neutral,veja,0.0,0.734,0.266,0.4404,positive
3472,1021777001601028096,Professor é suspeito de jogar namorada da sacada de apartamento no PR https://t.co/aAq4ZnWHIb,Tue Jul 24 15:19:55 +0000 2018,neutral,veja,0.185,0.815,0.0,-0.3612,negative
3475,1021783780925657088,Cresce número de mulheres e de menores militantes do EI https://t.co/Ond2qxxlDV,Tue Jul 24 15:46:51 +0000 2018,neutral,veja,0.0,0.874,0.126,0.0772,positive
3476,1021784293251723264,PCdoB ignora Manuela em cartilha sobre distribuição de Fundo Eleitoral https://t.co/QWtfVF3BBS,Tue Jul 24 15:48:54 +0000 2018,neutral,veja,0.174,0.826,0.0,-0.2732,negative
3478,1021792421200515073,Atriz de ‘Handmaid’s Tale’ revela que voltará para terceira temporada https://t.co/ZRmdJtj2Rc,Tue Jul 24 16:21:11 +0000 2018,neutral,veja,0.138,0.862,0.0,-0.1531,negative
3481,1021802977634512901,Tóquio apresenta mascotes e começa contagem regressiva para Jogos de 2020 https://t.co/A98bMqLxy7,Tue Jul 24 17:03:08 +0000 2018,neutral,veja,0.138,0.862,0.0,-0.1531,negative
3483,1021809896193499136,"Cobertura de prédio pega fogo no Itaim, na zona oeste de São Paulo https://t.co/FlOgWxfcot",Tue Jul 24 17:30:38 +0000 2018,neutral,veja,0.156,0.844,0.0,-0.34,negative
3485,1021814517817335809,FOTOS: Incêndio florestal causa destruição nos arredores de Atenas https://t.co/BXVV9ZNkZR,Tue Jul 24 17:49:00 +0000 2018,neutral,veja,0.262,0.738,0.0,-0.4939,negative
3486,1021816873640439809,Ortega avisa que não renunciará à Presidência da Nicarágua https://t.co/YSGIjQwy31,Tue Jul 24 17:58:21 +0000 2018,neutral,veja,0.216,0.784,0.0,-0.296,negative
3487,1021823059592982530,Estudo aponta qual a fórmula dos filmes que são sucesso de bilheteria https://t.co/TdpduGJGMc,Tue Jul 24 18:22:56 +0000 2018,neutral,veja,0.0,0.748,0.252,0.5719,positive
3488,1021825001073397763,Josué Gomes diz a Alckmin que não será vice na chapa do tucano https://t.co/3HyyLFHi9o,Tue Jul 24 18:30:39 +0000 2018,neutral,veja,0.155,0.845,0.0,-0.296,negative
3489,1021829072194883584,Homem ligado ao PCC é morto com R$ 73 mil no carro em SP https://t.co/eqVmbCJ8fG,Tue Jul 24 18:46:50 +0000 2018,neutral,veja,0.378,0.622,0.0,-0.8074,negative
3492,1021830323162755074,Elton John critica Rússia e Leste Europeu por discriminar gays https://t.co/ziMUSypFmL,Tue Jul 24 18:51:48 +0000 2018,neutral,veja,0.211,0.789,0.0,-0.34,negative
3493,1021841263434317825,"Aumento do calor pode elevar as taxas de suicídios, afirma estudo https://t.co/2oOklzcwop",Tue Jul 24 19:35:16 +0000 2018,neutral,veja,0.0,0.786,0.214,0.4588,positive
3495,1021843024836476928,Grupo pede ‘Lula livre’ e joga tinta vermelha na entrada no STF https://t.co/SarzRkfHQm,Tue Jul 24 19:42:16 +0000 2018,neutral,veja,0.0,0.866,0.134,0.1779,positive
3499,1021853276436942849,Jornalista da Reuters relata tortura sofrida em prisão de Mianmar https://t.co/AkwnVMo5EK,Tue Jul 24 20:23:00 +0000 2018,neutral,veja,0.444,0.556,0.0,-0.802,negative
3500,1021856848859803648,ONU diz que Israel e Hamas estiveram a “minutos” de confronto “devastador” https://t.co/qSfjk59cbA,Tue Jul 24 20:37:12 +0000 2018,neutral,veja,0.388,0.612,0.0,-0.6908,negative
3501,1021857113004486656,"Demi Lovato é hospitalizada com suspeita de overdose, diz site https://t.co/8KJqRqye2w",Tue Jul 24 20:38:15 +0000 2018,neutral,veja,0.224,0.776,0.0,-0.3818,negative
3502,1021862185809666049,As capas históricas da chegada do homem à Lua https://t.co/qMdMJeftlY,Tue Jul 24 20:58:25 +0000 2018,neutral,veja,0.259,0.741,0.0,-0.4215,negative
3504,1021866045060132866,Novas tecnologias impulsionam gestão de saúde e segurança na indústria https://t.co/bs1ynr0LhV,Tue Jul 24 21:13:45 +0000 2018,neutral,veja,0.0,0.75,0.25,0.4588,positive
3505,1021868016110321664,"“Ela vivia morrendo de medo”, diz mãe de brasileira morta na Nicarágua https://t.co/LAxgE65UCr",Tue Jul 24 21:21:35 +0000 2018,neutral,veja,0.368,0.632,0.0,-0.7506,negative
3507,1021872696492285957,Governo brasileiro cobra respostas da Nicarágua sobre morte de estudante https://t.co/73NPTUSc23,Tue Jul 24 21:40:10 +0000 2018,neutral,veja,0.281,0.719,0.0,-0.5994,negative
3508,1021873564499300354,Sérgio Cabral é enviado para a solitária em Bangu 8 https://t.co/uscI1oeJmg,Tue Jul 24 21:43:37 +0000 2018,neutral,veja,0.186,0.814,0.0,-0.1531,negative
3509,1021883826669330434,Lulu Santos revela relacionamento com jovem baiano https://t.co/c3wboifbEP,Tue Jul 24 22:24:24 +0000 2018,neutral,veja,0.0,0.753,0.247,0.3182,positive
3510,1021885238048256000,O 'Giro VEJA' traz quatro notícias para você ficar bem informado nesta terça-feira #TVEJA https://t.co/Fvk2nttB5s,Tue Jul 24 22:30:01 +0000 2018,neutral,veja,0.095,0.655,0.25,0.3818,positive
3512,1021890214804025344,Pagamento do PIS de 2017 será liberado nesta quinta https://t.co/Evn8x8JCyW,Tue Jul 24 22:49:47 +0000 2018,neutral,veja,0.135,0.865,0.0,-0.1027,negative
3513,1021891511749885952,Traficante Rogério 157 é condenado a 32 anos de prisão https://t.co/t6HlGVw4Fl,Tue Jul 24 22:54:56 +0000 2018,neutral,veja,0.252,0.534,0.214,-0.128,negative
3515,1021897542529896448,Itamaraty convoca embaixadora da Nicarágua para dar explicações https://t.co/GxY6azbxLy,Tue Jul 24 23:18:54 +0000 2018,neutral,veja,0.167,0.833,0.0,-0.1531,negative
3517,1021901301079318533,"Investigado por corrupção e fraude, Uribe renuncia ao Senado na Colômbia https://t.co/O9WmHuAOlY",Tue Jul 24 23:33:50 +0000 2018,neutral,veja,0.384,0.616,0.0,-0.6808,negative
3520,1021928564034351107,Estudo aponta que mãe trabalhar fora não prejudica felicidade dos filhos https://t.co/fOlfdXAAkE,Wed Jul 25 01:22:10 +0000 2018,neutral,veja,0.305,0.508,0.186,-0.2732,negative
3522,1022075851389784064,Guerra comercial entre China e EUA marca início de cúpula do Brics https://t.co/4qakVciuQ3,Wed Jul 25 11:07:26 +0000 2018,neutral,veja,0.236,0.764,0.0,-0.5267,negative
3523,1022089034535985153,"Sem coligação, Marina libera Rede para negociar alianças nos estados https://t.co/hK5Okx1rp8",Wed Jul 25 11:59:49 +0000 2018,neutral,veja,0.125,0.703,0.172,0.1531,positive
3525,1022092248371089408,"Indefinido sobre vice, Josué Gomes declara apoio a Geraldo Alckmin https://t.co/s3cQxBR0Ox",Wed Jul 25 12:12:36 +0000 2018,neutral,veja,0.0,0.783,0.217,0.3612,positive
3527,1022093481291010048,Demi Lovato desperta após ser encontrada desacordada por possível overdose https://t.co/13814kXRXQ,Wed Jul 25 12:17:30 +0000 2018,neutral,veja,0.0,0.813,0.187,0.3182,positive
3530,1022095934182879232,Preço de seguro de carro no RJ é 28% mais caro do que em SP https://t.co/IS20ZLuf3P,Wed Jul 25 12:27:14 +0000 2018,neutral,veja,0.0,0.703,0.297,0.6705,positive
3531,1022101355425673216,"Aos 85 anos, Yoko Ono anuncia novo álbum pela paz https://t.co/1sMi8qd93g",Wed Jul 25 12:48:47 +0000 2018,neutral,veja,0.0,0.763,0.237,0.4767,positive
3533,1022105110527336448,Concurso público no Ceará tem pergunta sobre família de Ciro Gomes https://t.co/ikU9qczso3,Wed Jul 25 13:03:42 +0000 2018,neutral,veja,0.0,0.873,0.127,0.1531,positive
3535,1022108284222955520,C&amp;A ‘averigua’ denúncia de racismo feita pela filha de Ivo Meirelles https://t.co/MZXXQDVR2J,Wed Jul 25 13:16:19 +0000 2018,neutral,veja,0.412,0.588,0.0,-0.7906,negative
3536,1022108328758050816,Ciro diz que ‘Lula só tem chance de sair da cadeia’ com ele presidente https://t.co/GAwqZ2I4lP,Wed Jul 25 13:16:30 +0000 2018,neutral,veja,0.074,0.802,0.123,0.2023,positive
3537,1022109790733066240,Wesley Safadão chora ao falar de pensão do filho no Instagram https://t.co/sPvoe8jrC1,Wed Jul 25 13:22:18 +0000 2018,neutral,veja,0.179,0.821,0.0,-0.34,negative
3540,1022116179400380416,"Branco Mello, dos Titãs, comemora reta final do tratamento contra o câncer https://t.co/Cn2KBOgB5t",Wed Jul 25 13:47:41 +0000 2018,neutral,veja,0.243,0.552,0.204,-0.1779,negative
3541,1022117596034949120,Mourinho critica United: ‘Não estamos à altura de Liverpool e Chelsea’ https://t.co/KTFA9CBmyj,Wed Jul 25 13:53:19 +0000 2018,neutral,veja,0.365,0.635,0.0,-0.5574,negative
3544,1022126076741468161,Facebook retira do ar 196 páginas sob acusação de fake news https://t.co/JPYB0SPTTe,Wed Jul 25 14:27:01 +0000 2018,neutral,veja,0.154,0.846,0.0,-0.25,negative
3545,1022126174615560192,"Durante protesto em avião na Suécia, brasileiros desdenham de refugiado https://t.co/1HbiissstV",Wed Jul 25 14:27:24 +0000 2018,neutral,veja,0.167,0.833,0.0,-0.25,negative
3547,1022131530838302720,Serena Williams alega discriminação após novo teste antidoping ‘surpresa’ https://t.co/yhmeLTcYos,Wed Jul 25 14:48:41 +0000 2018,neutral,veja,0.0,0.811,0.189,0.2732,positive
3548,1022135787037634560,"Bloqueado na China, Facebook consegue licença para filial no país https://t.co/dlV2alqV8r",Wed Jul 25 15:05:36 +0000 2018,neutral,veja,0.291,0.709,0.0,-0.4019,negative
3549,1022136340807380993,Estrela de Trump na Calçada da Fama é vandalizada em Hollywood https://t.co/4eMSNaSKHP,Wed Jul 25 15:07:48 +0000 2018,neutral,veja,0.0,0.775,0.225,0.4404,positive
3551,1022138871608483841,Concurso premia melhores fotos de drone https://t.co/88c1jHYNSt,Wed Jul 25 15:17:52 +0000 2018,neutral,veja,0.0,0.789,0.211,0.1531,positive
